"corpus","file","row","axis","direction","screen","flags","evidence","text"
"source_pool","data/question-pools/axis1-empathy-detachment.json","1","Empathy","empathy","context_candidate","event","difficult time","When I learn that someone I know is going through a difficult time, my first instinct is to consider how I might help."
"source_pool","data/question-pools/axis1-empathy-detachment.json","2","Empathy","empathy","conditional_only","conditional_only","When","When someone shares a painful experience, the fact of their pain carries real weight in my mind."
"source_pool","data/question-pools/axis1-empathy-detachment.json","3","Empathy","empathy","no_lexical_cue","","","I feel that the weight of another person's struggle is something I carry with me, not something I observe from a distance."
"source_pool","data/question-pools/axis1-empathy-detachment.json","4","Empathy","empathy","context_candidate","event","suffering","When I am near someone in deep pain, their suffering exists in my awareness as a moral weight that requires a response."
"source_pool","data/question-pools/axis1-empathy-detachment.json","5","Empathy","empathy","no_lexical_cue","","","I find that I cannot simply turn off my concern for someone once I have seen their pain."
"source_pool","data/question-pools/axis1-empathy-detachment.json","6","Empathy","empathy","conditional_only","conditional_only","When","When someone shares their struggle with me, I experience it as a call to action rather than as information."
"source_pool","data/question-pools/axis1-empathy-detachment.json","7","Empathy","empathy","conditional_only","conditional_only","When","When I learn that someone has been harmed, I feel a moral pull to respond that remains present until I have taken action."
"source_pool","data/question-pools/axis1-empathy-detachment.json","8","Empathy","empathy","no_lexical_cue","","","I find that the moral pull of another's pain is something I experience as a direct call to action, not as an abstract consideration."
"source_pool","data/question-pools/axis1-empathy-detachment.json","9","Empathy","empathy","no_lexical_cue","","","I register the weight of another person's pain not just intellectually but as something that genuinely matters to me and moves me."
"source_pool","data/question-pools/axis1-empathy-detachment.json","10","Empathy","empathy","conditional_only","conditional_only","after","The felt weight of another person's hardship stays with me long after the encounter."
"source_pool","data/question-pools/axis1-empathy-detachment.json","11","Empathy","empathy","conditional_only","conditional_only","when","I often feel drawn to check in on people I know are having a hard time, even when they haven't asked."
