"axis","pole_direction","pole_label","strength","source","question_text","source_pool_file"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 16","I notice when someone is being left out of a conversation even when it is not obvious.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 31","I pick up on the way someone's posture shifts when a particular person enters the room.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 318","I can tell when a meeting is happening for show rather than for any real decision-making.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 49","I notice when someone carefully chooses words to avoid offending a specific person in the room.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 33","I am attuned to the silent negotiations that happen before a group makes a decision.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 34","I feel like I can sense what a group's unwritten rules are without being told.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 82","I sense the difference between a comfortable lull in conversation and an awkward one.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 77","I pick up on the subtle cues that indicate someone feels out of place in a group.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 12","I can read the atmosphere of a meeting within seconds of walking in.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 9","I intuitively understand the unspoken hierarchy in any social group I enter.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 50","I find myself tracking the emotional trajectory of a conversation as it unfolds.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 352","I notice when a group's laughter is directed at someone rather than shared with them.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 23","I often catch the quick glance two people exchange when something significant is said.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 14","I often know what someone is about to say before they say it based on context cues.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 407","I notice when the physical distance between two people in a conversation is slightly greater than normal and read the reason for it.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 87","I notice the precise moment when a group conversation becomes dominated by one person.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 39","I am aware of the invisible alliances that form in any group setting.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 38","I notice the social signals that indicate someone is ready to end a conversation.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 92","I often sense that there is a conversation happening beneath the surface conversation.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 66","I detect when a joke lands differently than the speaker intended.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 25","I notice when someone is testing the waters with a comment before committing to an opinion.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 43","I can usually tell when someone has been crying even if they have composed themselves.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 432","I detect when a person uses physical touch, like a pat on the back, to establish a hierarchy rather than express warmth.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 58","I detect when someone is subtly seeking validation in the way they tell a story.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 74","I notice when someone positions a request as a suggestion to make it more palatable.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 73","I detect when a group's energy shifts from casual to serious.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 30","I can sense when two people are pretending to get along but actually dislike each other.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 7","I notice micro-expressions that flash across someone's face during conversation.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 10","I feel like I have a sixth sense for when something is off in a social situation.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","mild","baseline row 83","I notice when people adjust their vocabulary depending on who they are speaking to.","axis3-social-attunement.json"
"Social Attunement","hyper-attuned","Hyper-Attuned","moderate","baseline row 131","I pick up on when someone shortens their responses as a signal they want the conversation to end.","axis3-social-attunement.json"
