"baseline_commit","source_row_1_based","pole_direction","affective_tag","cognitive_tag","wording_score","question_sha256"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","1","empathy","false","true","3.635","866e0ca4ba6ac48068106a8a80aa303756b49be4940e57a8a8178fb58976d2a0"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","2","detachment","true","false","3.215","3c44eb09e93a99dd998281eaef28cdef4c81f9b5ad3282bcb992ac70fa717f09"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","4","detachment","true","false","2.945","92ba56a610c15951167a908540c6981d330b368adc487e714caac1d05cae9c8c"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","5","empathy","true","false","2.780","011e1464b23089528bda5ffe057ec46c180b8f99295da8d0f66f839cfd0a34d3"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","7","empathy","true","false","4.235","d7f1d017886ea42dbd8a42e8a3facd24e17a1fbbebe2dfeaf49c31c236f956d1"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","10","detachment","true","true","2.835","3ad5ea2ca8a353b1c0bac91379b11136ee96aa571f71292db20d2fe98572e305"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","11","empathy","true","false","2.780","8b3bc6329508e5f0359703955a60cb3c43296e45c83d97a096bb92316aa14328"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","12","detachment","true","true","2.780","e66fd60c83fa52dd3865bf870ab7507e439f64d27d15907a3f82f2ddd49c9063"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","14","detachment","false","true","2.780","513e809468700417f6d4a1d99fa4ed4a99e7ec8f879b0f9329213b93df9e97ea"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","15","empathy","false","true","1.935","7c968bcbbe788a433e42b0dab80e8845146745e5baf31974faaa2f8ba5cd8a71"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","16","detachment","true","true","2.890","e7396cdd0da27062326c39f55738c7c339e7233e3f326f25d6c1c23e9d679efd"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","17","empathy","true","false","2.890","212a04d39a7a70b4a37d5ca6fc1715433b3fd0c8e85390c0733c4700f0066a47"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","18","detachment","true","true","2.835","b3b4194e72b6ea9733d206902d1b7ee8e085be34c60b2eb593f5ec37d9a900d0"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","19","empathy","true","false","4.125","63da9718fc948ed46826fd3bd1b1234c63bfc89ec7442b0770d909080627c53b"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","20","detachment","true","false","2.725","76b1d0decb221e38462ad08117c7f6d753e6de0a6fc353ae851291252a8c6cce"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","22","detachment","true","false","2.835","15bbda60adc675ca15a2082e904d45497a4948b1c10e76bb1d3e1d9dd7df6bf5"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","24","detachment","false","true","2.945","9e26e7ec60f6bb2b43e2677aeb15782214201f72c076b1c5b4d18a4af54140a3"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","25","empathy","true","false","3.435","07fe5943cf083a9a883ac8a518a0c5929a290f99597c71656f738d1585e44e9d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","26","detachment","false","true","2.945","e0073cb81eff5a79840dd78e6eec3b049e7cec9a6207ee2fd4c1eab9cc73cb42"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","28","detachment","true","false","2.725","0da37d685b6e225bcd5c9f8a36ccb731f2d7dfb228cb1fc41963cae1ce505648"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","29","empathy","true","true","3.145","24ab1d5f84c8ecc084b429e373fcb6991901fad5226620f8e3d31945d3dd2086"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","31","empathy","true","false","2.180","0b95c5f0484fd74902857f2f6bccbd53dfdf5136a63c97c27611e272118ccb5d"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","32","detachment","true","false","3.435","fe1a0e29f630045c6b8666673a31a8b9a8a3a234c6a7d61fc188c371639f3dce"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","33","empathy","true","false","3.090","f007a953605d73b3293f0b225c089f148c8192aa4137cbab917270d276e33971"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","36","detachment","true","false","2.725","f14e01931ccf87b337772d7df9d656f8fd153487e16a33c74f73fd9fed77376c"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","37","empathy","true","false","2.835","22a56398c456faf0df274a249c912655d73b1b2cc1e9723f4ede866904b5ee92"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","40","detachment","true","false","2.615","26831b8a20d44eeb6788dac43150bcf32c02a7ef8d242aaa033be286b4048efd"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","41","empathy","false","true","2.725","d0249fac27a6c3cc19add2261acdca128f62edd8f82c606ffb61d993c44ccdc8"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","42","detachment","true","false","2.670","181454cb5c281ce4161d7e56b729470464cc8f0c114c09e95e157cb01c9e3643"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","43","empathy","true","false","2.945","d005fe1c1ba36ade18534b49c63b190d34a9185ff9588c705aa4a58dc423a055"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","45","empathy","true","true","3.580","de1060d848d4d3a3ef67555f5d45bd6f9c30c751e6b50359c4275a82e46b0315"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","47","empathy","true","false","1.770","8e23cb1847551f09e0034ccfbb9d2ea567fcb0d6e158049eea4e10fd70c1b732"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","49","empathy","true","false","2.615","caf269627fc999f37130cecc92d3d1d6225005eb0989606329270121208ba4fc"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","51","empathy","true","false","2.945","4fcb9dea8750f03db3ab002dd7fbd41de39f098e674d68f733639bdacf5ccc1a"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","52","detachment","false","true","2.725","e7032b8f378af90026a121c963826a9c24714824ab5699e575af5807b1746459"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","53","empathy","false","true","3.545","e439bb9e29e73d89c993c1d32bee02c0021ef33985fc932035bf780d1ea893bb"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","59","empathy","true","false","3.090","9baa4cfddb4bf930dbebe79f3b166cdc7b26db4f5c5e9089af0efb606a394ec3"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","60","detachment","false","true","2.780","74bdd337b3fbafed3e69d5010ec72678854742bbcd340f452f822f35cd98e904"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","61","empathy","false","true","1.770","adde699825c3bb058973000c2e9ef4634c5a627fab675f2795929882cbc94a00"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","63","empathy","true","false","2.890","c232e77093c2da7a5ea1f665a9b13bd6c26f63fd94d625ed2434627d736e3e18"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","66","detachment","false","true","3.600","34a11046d128d83e9867dc59fc10e81331a8c5ddfd90a921bafa5c69163dc5ad"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","67","empathy","true","false","2.090","7b0c7c53821d15b13ceb00d6059b61387f2ec1e46380ca5e6f416c0b21c089ed"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","68","detachment","true","false","2.835","114f6d42d3343223d9267bf03f0640eeda80dab69885d0ce89e4e406bdb5a35f"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","69","empathy","true","false","1.935","8886dde1c61784cdd9e0e31be87038c3e4145b58a183bffa8ff9f8aaf3f76a98"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","70","detachment","false","true","1.980","a8497670d6ad3bcd499e48f305949706cd13a2f1ddceeb2f3ca04f3751d2d399"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","71","empathy","true","false","2.945","9f1f965fb5de6f0510eb2f04d3188f8e7c8006caa8fbbbb4b9bfc804317c1c15"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","72","detachment","true","true","2.780","dfcce64311c3547ec4bcbf2b6a05d7af6fb19aa80bfb879baa27ae499f98fae5"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","73","empathy","true","false","2.235","419a34f76fab17be64a31cd6c75bdd0ddb41bc4a9001f6a55d04ba22dd7d584c"
"4db0f6979b61a6ccaade787cf93c75f8b57cd270","74","detachment","true","false","2.780","f513860b673162f4ceba584f537936ac606fd601a0c78f899686ac690a87826a"
